year,country,value,indicator
2027,德国,23.975757575757598,AI政策数量
2028,德国,26.21818181818253,AI政策数量
2029,德国,28.46060606060746,AI政策数量
2030,德国,30.703030303031483,AI政策数量
2031,德国,32.945454545456414,AI政策数量
2032,德国,35.187878787881345,AI政策数量
2033,德国,37.43030303030537,AI政策数量
2034,德国,39.6727272727303,AI政策数量
2035,德国,41.91515151515523,AI政策数量
2016,日本,1.0,AI政策数量
2017,日本,2.0,AI政策数量
2018,日本,3.0,AI政策数量
2019,日本,5.0,AI政策数量
2020,日本,7.0,AI政策数量
2021,日本,10.0,AI政策数量
2022,日本,13.0,AI政策数量
2023,日本,15.0,AI政策数量
2024,日本,18.0,AI政策数量
2025,日本,20.0,AI政策数量
2026,日本,21.733333333333576,AI政策数量
2027,日本,23.975757575757598,AI政策数量
2028,日本,26.21818181818253,AI政策数量
2029,日本,28.46060606060746,AI政策数量
2030,日本,30.703030303031483,AI政策数量
2031,日本,32.945454545456414,AI政策数量
2032,日本,35.187878787881345,AI政策数量
2033,日本,37.43030303030537,AI政策数量
2034,日本,39.6727272727303,AI政策数量
2035,日本,41.91515151515523,AI政策数量
2016,法国,1.0,AI政策数量
2017,法国,2.0,AI政策数量
2018,法国,3.0,AI政策数量
2019,法国,5.0,AI政策数量
2020,法国,7.0,AI政策数量
2021,法国,10.0,AI政策数量
2022,法国,13.0,AI政策数量
2023,法国,15.0,AI政策数量
2024,法国,18.0,AI政策数量
2025,法国,20.0,AI政策数量
2026,法国,21.733333333333576,AI政策数量
2027,法国,23.975757575757598,AI政策数量
2028,法国,26.21818181818253,AI政策数量
2029,法国,28.46060606060746,AI政策数量
2030,法国,30.703030303031483,AI政策数量
2031,法国,32.945454545456414,AI政策数量
2032,法国,35.187878787881345,AI政策数量
2033,法国,37.43030303030537,AI政策数量
2034,法国,39.6727272727303,AI政策数量
2035,法国,41.91515151515523,AI政策数量
2016,美国,1.0,AI政策数量
2017,美国,5.0,AI政策数量
2018,美国,10.0,AI政策数量
2019,美国,20.0,AI政策数量
2020,美国,30.0,AI政策数量
2021,美国,50.0,AI政策数量
2022,美国,70.0,AI政策数量
2023,美国,100.0,AI政策数量
2024,美国,131.0,AI政策数量
2025,美国,150.0,AI政策数量
2026,美国,151.46666666667443,AI政策数量
2027,美国,168.69696969697543,AI政策数量
2028,美国,185.9272727272837,AI政策数量
2029,美国,203.15757575759199,AI政策数量
2030,美国,220.387878787893,AI政策数量
2031,美国,237.61818181820126,AI政策数量
2032,美国,254.84848484850954,AI政策数量
2033,美国,272.0787878788178,AI政策数量
2034,美国,289.3090909091188,AI政策数量
2035,美国,306.5393939394271,AI政策数量
2016,英国,1.0,AI政策数量
2017,英国,2.0,AI政策数量
2018,英国,3.0,AI政策数量
2019,英国,5.0,AI政策数量
2020,英国,7.0,AI政策数量
2021,英国,10.0,AI政策数量
2022,英国,15.0,AI政策数量
2023,英国,20.0,AI政策数量
2024,英国,25.0,AI政策数量
2025,英国,30.0,AI政策数量
2026,英国,29.800000000002,AI政策数量
2027,英国,33.072727272729935,AI政策数量
2028,英国,36.34545454545787,AI政策数量
2029,英国,39.6181818181858,AI政策数量
2030,英国,42.89090909091374,AI政策数量
2031,英国,46.16363636364167,AI政策数量
2032,英国,49.436363636369606,AI政策数量
2033,英国,52.70909090909663,AI政策数量
2034,英国,55.981818181824565,AI政策数量
2035,英国,59.2545454545525,AI政策数量
2016,阿联酋,0.0,AI政策数量
2017,阿联酋,1.0,AI政策数量
2018,阿联酋,2.0,AI政策数量
2019,阿联酋,3.0,AI政策数量
2020,阿联酋,5.0,AI政策数量
2021,阿联酋,7.0,AI政策数量
2022,阿联酋,10.0,AI政策数量
2023,阿联酋,12.0,AI政策数量
2024,阿联酋,15.0,AI政策数量
2025,阿联酋,18.0,AI政策数量
2026,阿联酋,18.40000000000009,AI政策数量
2027,阿联酋,20.418181818182347,AI政策数量
2028,阿联酋,22.43636363636415,AI政策数量
2029,阿联酋,24.454545454546405,AI政策数量
2030,阿联酋,26.47272727272866,AI政策数量
2031,阿联酋,28.490909090910463,AI政策数量
2032,阿联酋,30.509090909093175,AI政策数量
2033,阿联酋,32.527272727274976,AI政策数量
2034,阿联酋,34.54545454545769,AI政策数量
2035,阿联酋,36.56363636363949,AI政策数量
2016,韩国,1.0,AI政策数量
2017,韩国,2.0,AI政策数量
2018,韩国,3.0,AI政策数量
2019,韩国,5.0,AI政策数量
2020,韩国,7.0,AI政策数量
2021,韩国,10.0,AI政策数量
2022,韩国,13.0,AI政策数量
2023,韩国,15.0,AI政策数量
2024,韩国,18.0,AI政策数量
2025,韩国,20.0,AI政策数量
2026,韩国,21.733333333333576,AI政策数量
2027,韩国,23.975757575757598,AI政策数量
2028,韩国,26.21818181818253,AI政策数量
2029,韩国,28.46060606060746,AI政策数量
2030,韩国,30.703030303031483,AI政策数量
2031,韩国,32.945454545456414,AI政策数量
2032,韩国,35.187878787881345,AI政策数量
2033,韩国,37.43030303030537,AI政策数量
2034,韩国,39.6727272727303,AI政策数量
2035,韩国,41.91515151515523,AI政策数量
2016,中国,35.0,AI毕业生数量
2017,中国,38.5,AI毕业生数量
2018,中国,42.0,AI毕业生数量
2019,中国,45.0,AI毕业生数量
2020,中国,48.0,AI毕业生数量
2021,中国,52.0,AI毕业生数量
2022,中国,55.0,AI毕业生数量
2023,中国,58.0,AI毕业生数量
2024,中国,61.5,AI毕业生数量
2025,中国,65.0,AI毕业生数量
2026,中国,70.00031897156146,AI毕业生数量
2027,中国,74.58440870450204,AI毕业生数量
2028,中国,79.46869533637664,AI毕业生数量
2029,中国,84.67283777077955,AI毕业生数量
2030,中国,90.21778230798486,AI毕业生数量
2031,中国,96.12584695230044,AI毕业生数量
2032,中国,102.42081124043864,AI毕业生数量
2033,中国,109.12801195244447,AI毕业生数量
2034,中国,116.27444509042334,AI毕业生数量
2035,中国,123.88887453550751,AI毕业生数量
2016,加拿大,1.2,AI毕业生数量
2017,加拿大,1.3,AI毕业生数量
2018,加拿大,1.4,AI毕业生数量
2019,加拿大,1.5,AI毕业生数量
2020,加拿大,1.6,AI毕业生数量
2021,加拿大,1.7,AI毕业生数量
2022,加拿大,1.8,AI毕业生数量
2023,加拿大,1.9,AI毕业生数量
2024,加拿大,2.0,AI毕业生数量
2025,加拿大,2.1,AI毕业生数量
2026,加拿大,2.252267739981569,AI毕业生数量
2027,加拿大,2.3881071520049133,AI毕业生数量
2028,加拿大,2.532139349251473,AI毕业生数量
2029,加拿大,2.6848584573119822,AI毕业生数量
2030,加拿大,2.8467884036203017,AI毕业生数量
2031,加拿大,3.018484714870496,AI毕业生数量
2032,加拿大,3.200536422840507,AI毕业生数量
2033,加拿大,3.3935680851603323,AI毕业生数量
2034,加拿大,3.5982419279571545,AI毕业生数量
2035,加拿大,3.815260117728606,AI毕业生数量
2016,印度,28.0,AI毕业生数量
2017,印度,30.5,AI毕业生数量
2018,印度,33.0,AI毕业生数量
2019,印度,36.0,AI毕业生数量
2020,印度,38.5,AI毕业生数量
2021,印度,41.0,AI毕业生数量
2022,印度,44.0,AI毕业生数量
2023,印度,47.0,AI毕业生数量
2024,印度,50.0,AI毕业生数量
2025,印度,53.5,AI毕业生数量
2026,印度,57.529668131453946,AI毕业生数量
2027,印度,61.608252110884166,AI毕业生数量
2028,印度,65.97598858879996,AI毕业生数量
2029,印度,70.65337712284258,AI毕业生数量
2030,印度,75.66237059326204,AI毕业生数量
2031,印度,81.02647823668258,AI毕业生数量
2032,印度,86.77087598447861,AI毕业生数量
2033,印度,92.92252462362512,AI毕业生数量
2034,印度,99.51029633459893,AI毕业生数量
2035,印度,106.56511020022504,AI毕业生数量
2016,德国,2.0,AI毕业生数量
2017,德国,2.2,AI毕业生数量
2018,德国,2.4,AI毕业生数量
2019,德国,2.6,AI毕业生数量
2020,德国,2.8,AI毕业生数量
2021,德国,2.9,AI毕业生数量
2022,德国,3.1,AI毕业生数量
2023,德国,3.3,AI毕业生数量
2024,德国,3.5,AI毕业生数量
2025,德国,3.7,AI毕业生数量
2026,德国,3.9644998859482428,AI毕业生数量
2027,德国,4.218437479171783,AI毕业生数量
2028,德国,4.488640503876567,AI毕业生数量
2029,德国,4.776150807620098,AI毕业生数量
2030,德国,5.082076971285446,AI毕业生数量
2031,德国,5.407598583542068,AI毕业生数量
2032,德国,5.753970789098403,AI毕业生数量
2033,德国,6.122529128282935,AI毕业生数量
2034,德国,6.5146946866142486,AI毕业生数量
2035,德国,6.931979574215987,AI毕业生数量
2016,日本,1.8,AI毕业生数量
2017,日本,1.9,AI毕业生数量
2018,日本,1.9,AI毕业生数量
2019,日本,2.0,AI毕业生数量
2020,日本,2.0,AI毕业生数量
2021,日本,2.1,AI毕业生数量
2022,日本,2.1,AI毕业生数量
2023,日本,2.2,AI毕业生数量
2024,日本,2.2,AI毕业生数量
2025,日本,2.3,AI毕业生数量
2026,日本,2.3393107516799603,AI毕业生数量
2027,日本,2.3963985650895268,AI毕业生数量
2028,日本,2.454879531776186,AI毕业生数量
2029,日本,2.5147876498200787,AI毕业生数量
2030,日本,2.576157746979902,AI毕业生数量
2031,日本,2.639025500940164,AI毕业生数量
2032,日本,2.7034274600524952,AI毕业生数量
2033,日本,2.7694010645831924,AI毕业生数量
2034,日本,2.8369846684791895,AI毕业生数量
2035,日本,2.9062175616652013,AI毕业生数量
2016,法国,1.5,AI毕业生数量
2017,法国,1.6,AI毕业生数量
2018,法国,1.7,AI毕业生数量
2019,法国,1.8,AI毕业生数量
2020,法国,1.9,AI毕业生数量
2021,法国,2.0,AI毕业生数量
2022,法国,2.1,AI毕业生数量
2023,法国,2.2,AI毕业生数量
2024,法国,2.3,AI毕业生数量
2025,法国,2.4,AI毕业生数量
2026,法国,2.5445606138309103,AI毕业生数量
2027,法国,2.674595314568876,AI毕业生数量
2028,法国,2.8112751796248574,AI毕业生数量
2029,法国,2.954939796882414,AI毕业生数量
2030,法国,3.1059461081872897,AI毕业生数量
2031,法国,3.264669296187307,AI毕业生数量
2032,法国,3.4315037164917754,AI毕业生数量
2033,法国,3.606863877468072,AI毕业生数量
2034,法国,3.7911854701076493,AI毕业生数量
2035,法国,3.9849264505220816,AI毕业生数量
2016,美国,6.5,AI毕业生数量
2017,美国,7.2,AI毕业生数量
2018,美国,8.0,AI毕业生数量
2019,美国,8.8,AI毕业生数量
2020,美国,9.5,AI毕业生数量
2021,美国,10.5,AI毕业生数量
2022,美国,11.0,AI毕业生数量
2023,美国,11.5,AI毕业生数量
2024,美国,12.0,AI毕业生数量
2025,美国,12.5,AI毕业生数量
2026,美国,13.786739697128155,AI毕业生数量
2027,美国,14.707958631823857,AI毕业生数量
2028,美国,15.690732679931912,AI毕业生数量
2029,美国,16.7391749049645,AI毕业生数量
2030,美国,17.85767320205281,AI毕业生数量
2031,美国,19.050908661975598,AI毕业生数量
2032,美国,20.32387516225907,AI毕业生数量
2033,美国,21.681900267336346,AI毕业生数量
2034,美国,23.130667525240995,AI毕业生数量
2035,美国,24.676240254146933,AI毕业生数量
2016,英国,2.2,AI毕业生数量
2017,英国,2.4,AI毕业生数量
2018,英国,2.6,AI毕业生数量
2019,英国,2.8,AI毕业生数量
2020,英国,3.0,AI毕业生数量
2021,英国,3.2,AI毕业生数量
2022,英国,3.4,AI毕业生数量
2023,英国,3.6,AI毕业生数量
2024,英国,3.8,AI毕业生数量
2025,英国,4.0,AI毕业生数量
2026,英国,4.310945658950288,AI毕业生数量
2027,英国,4.5875473712716115,AI毕业生数量
2028,英国,4.8818965834020105,AI毕业生数量
2029,英国,5.195132022021141,AI毕业生数量
2030,英国,5.528465477534112,AI毕业生数量
2031,英国,5.883186492033616,AI毕业生数量
2032,英国,6.260667348055009,AI毕业生数量
2033,英国,6.662368377422183,AI毕业生数量
2034,英国,7.089843610723804,AI毕业生数量
2035,英国,7.544746789274669,AI毕业生数量
2016,阿联酋,0.05,AI毕业生数量
2017,阿联酋,0.08,AI毕业生数量
2018,阿联酋,0.1,AI毕业生数量
2019,阿联酋,0.15,AI毕业生数量
2020,阿联酋,0.2,AI毕业生数量
2021,阿联酋,0.3,AI毕业生数量
2022,阿联酋,0.4,AI毕业生数量
2023,阿联酋,0.5,AI毕业生数量
2024,阿联酋,0.6,AI毕业生数量
2025,阿联酋,0.7,AI毕业生数量
2026,阿联酋,0.7193333333333385,AI毕业生数量
2027,阿联酋,0.7941212121212118,AI毕业生数量
2028,阿联酋,0.8689090909091135,AI毕业生数量
2029,阿联酋,0.9436969696970152,AI毕业生数量
2030,阿联酋,1.0,AI毕业生数量
2031,阿联酋,1.0,AI毕业生数量
2032,阿联酋,1.0,AI毕业生数量
2033,阿联酋,1.0,AI毕业生数量
2034,阿联酋,1.0,AI毕业生数量
2035,阿联酋,1.0,AI毕业生数量
2016,韩国,1.1,AI毕业生数量
2017,韩国,1.2,AI毕业生数量
2018,韩国,1.3,AI毕业生数量
2019,韩国,1.4,AI毕业生数量
2020,韩国,1.5,AI毕业生数量
2021,韩国,1.6,AI毕业生数量
2022,韩国,1.7,AI毕业生数量
2023,韩国,1.8,AI毕业生数量
2024,韩国,1.9,AI毕业生数量
2025,韩国,2.0,AI毕业生数量
2026,韩国,2.155472829475144,AI毕业生数量
2027,韩国,2.2937736856358057,AI毕业生数量
2028,韩国,2.4409482917010052,AI毕业生数量
2029,韩国,2.5975660110105707,AI毕业生数量
2030,韩国,2.764232738767056,AI毕业生数量
2031,韩国,2.941593246016808,AI毕业生数量
2032,韩国,3.1303336740275043,AI毕业生数量
2033,韩国,3.3311841887110916,AI毕业生数量
2034,韩国,3.544921805361902,AI毕业生数量
2035,韩国,3.7723733946373343,AI毕业生数量
2016,中国,80.0,AI研究人员数量
2017,中国,90.0,AI研究人员数量
2018,中国,100.0,AI研究人员数量
2019,中国,120.0,AI研究人员数量
2020,中国,140.0,AI研究人员数量
2021,中国,160.0,AI研究人员数量
2022,中国,180.0,AI研究人员数量
2023,中国,200.0,AI研究人员数量
2024,中国,220.0,AI研究人员数量
2025,中国,240.0,AI研究人员数量
2026,中国,279.3417133114267,AI研究人员数量
2027,中国,314.5993828916494,AI研究人员数量
2028,中国,354.3071693179786,AI研究人员数量
2029,中国,399.02675293344146,AI研究人员数量
2030,中国,449.39070768198053,AI研究人员数量
2031,中国,506.111449085211,AI研究人员数量
2032,中国,569.9913116058501,AI研究人员数量
2033,中国,641.9338979455824,AI研究人员数量
2034,中国,722.9568608171376,AI研究人员数量
2035,中国,814.2062979931325,AI研究人员数量
2016,加拿大,15.0,AI研究人员数量
2017,加拿大,16.0,AI研究人员数量
2018,加拿大,17.0,AI研究人员数量
2019,加拿大,18.0,AI研究人员数量
2020,加拿大,20.0,AI研究人员数量
2021,加拿大,22.0,AI研究人员数量
2022,加拿大,24.0,AI研究人员数量
2023,加拿大,26.0,AI研究人员数量
2024,加拿大,28.0,AI研究人员数量
2025,加拿大,30.0,AI研究人员数量
2026,加拿大,32.87060096960704,AI研究人员数量
2027,加拿大,35.6753635381923,AI研究人员数量
2028,加拿大,38.71944917462787,AI研究人员数量
2029,加拿大,42.023278691515884,AI研究人员数量
2030,加拿大,45.60901535608639,AI研究人员数量
2031,加拿大,49.500713569303,AI研究人员数量
2032,加拿大,53.724480231367124,AI研究人员数量
2033,加拿大,58.308649876119375,AI研究人员数量
2034,加拿大,63.28397474920234,AI研究人员数量
2035,加拿大,68.68383110509876,AI研究人员数量
2016,印度,30.0,AI研究人员数量
2017,印度,35.0,AI研究人员数量
2018,印度,40.0,AI研究人员数量
2019,印度,45.0,AI研究人员数量
2020,印度,50.0,AI研究人员数量
2021,印度,60.0,AI研究人员数量
2022,印度,70.0,AI研究人员数量
2023,印度,80.0,AI研究人员数量
2024,印度,90.0,AI研究人员数量
2025,印度,100.0,AI研究人员数量
2026,印度,116.3794959798804,AI研究人员数量
2027,印度,133.0229821509779,AI研究人员数量
2028,印度,152.04666106646982,AI研究人员数量
2029,印度,173.79092520436257,AI研究人员数量
2030,印度,198.64484673020547,AI研究人员数量
2031,印度,227.05313920197864,AI研究人员数量
2032,印度,259.52411487166046,AI研究人员数量
2033,印度,296.6387799642084,AI研究人员数量
2034,印度,339.06123067665385,AI研究人员数量
2035,印度,387.5505359138724,AI研究人员数量
2016,德国,15.0,AI研究人员数量
2017,德国,16.0,AI研究人员数量
2018,德国,18.0,AI研究人员数量
2019,德国,20.0,AI研究人员数量
2020,德国,22.0,AI研究人员数量
2021,德国,24.0,AI研究人员数量
2022,德国,26.0,AI研究人员数量
2023,德国,28.0,AI研究人员数量
2024,德国,30.0,AI研究人员数量
2025,德国,32.0,AI研究人员数量
2026,德国,35.47339534413578,AI研究人员数量
2027,德国,38.527805924321115,AI研究人员数量
2028,德国,41.84521427796011,AI研究人员数量
2029,德国,45.44826563463994,AI研究人员数量
2030,德国,49.36155507476303,AI研究人员数量
2031,德国,53.611795420016165,AI研究人员数量
2032,德国,58.227999579923335,AI研究人员数量
2033,德国,63.24167859921545,AI研究人员数量
2034,德国,68.68705675792216,AI研究人员数量
2035,德国,74.60130519249958,AI研究人员数量
2016,日本,12.0,AI研究人员数量
2017,日本,13.0,AI研究人员数量
2018,日本,14.0,AI研究人员数量
2019,日本,15.0,AI研究人员数量
2020,日本,17.0,AI研究人员数量
2021,日本,19.0,AI研究人员数量
2022,日本,21.0,AI研究人员数量
2023,日本,23.0,AI研究人员数量
2024,日本,25.0,AI研究人员数量
2025,日本,27.0,AI研究人员数量
2026,日本,30.092162005676357,AI研究人员数量
2027,日本,33.07554329046934,AI研究人员数量
2028,日本,36.35470139212143,AI研究人员数量
2029,日本,39.95896006011071,AI研究人员数量
2030,日本,43.92055024364856,AI研究人员数量
2031,日本,48.27489831574769,AI研究人员数量
2032,日本,53.06094287224437,AI研究人员数量
2033,日本,58.321482938746044,AI研究人员数量
2034,日本,64.1035606993272,AI研究人员数量
2035,日本,70.45888216951232,AI研究人员数量
2016,法国,10.0,AI研究人员数量
2017,法国,11.0,AI研究人员数量
2018,法国,12.0,AI研究人员数量
2019,法国,13.0,AI研究人员数量
2020,法国,15.0,AI研究人员数量
2021,法国,17.0,AI研究人员数量
2022,法国,19.0,AI研究人员数量
2023,法国,21.0,AI研究人员数量
2024,法国,23.0,AI研究人员数量
2025,法国,25.0,AI研究人员数量
2026,法国,28.28407308973499,AI研究人员数量
2027,法国,31.426229546135744,AI研究人员数量
2028,法国,34.91745691481901,AI研究人员数量
2029,法国,38.79653445566345,AI研究人员数量
2030,法国,43.10654952453564,AI研究人员数量
2031,法国,47.89537617167218,AI研究人员数量
2032,法国,53.216206908889205,AI研究人员数量
2033,法国,59.12814355229341,AI研究人员数量
2034,法国,65.69685370335247,AI研究人员数量
2035,法国,72.9953001602778,AI研究人员数量
2016,美国,150.0,AI研究人员数量
2017,美国,160.0,AI研究人员数量
2018,美国,170.0,AI研究人员数量
2019,美国,180.0,AI研究人员数量
2020,美国,200.0,AI研究人员数量
2021,美国,220.0,AI研究人员数量
2022,美国,240.0,AI研究人员数量
2023,美国,260.0,AI研究人员数量
2024,美国,280.0,AI研究人员数量
2025,美国,300.0,AI研究人员数量
2026,美国,328.7060096960695,AI研究人员数量
2027,美国,356.7536353819223,AI研究人员数量
2028,美国,387.1944917462797,AI研究人员数量
2029,美国,420.2327869151586,AI研究人员数量
2030,美国,456.09015356086366,AI研究人员数量
2031,美国,495.00713569303025,AI研究人员数量
2032,美国,537.2448023136712,AI研究人员数量
2033,美国,583.0864987611931,AI研究人员数量
2034,美国,632.8397474920248,AI研究人员数量
2035,美国,686.8383110509849,AI研究人员数量
2016,英国,20.0,AI研究人员数量
2017,英国,22.0,AI研究人员数量
2018,英国,24.0,AI研究人员数量
2019,英国,26.0,AI研究人员数量
2020,英国,28.0,AI研究人员数量
2021,英国,30.0,AI研究人员数量
2022,英国,32.0,AI研究人员数量
2023,英国,34.0,AI研究人员数量
2024,英国,36.0,AI研究人员数量
2025,英国,38.0,AI研究人员数量
2026,英国,41.18207435225497,AI研究人员数量
2027,英国,44.004488910522355,AI研究人员数量
2028,英国,47.02033772541722,AI研究人员数量
2029,英国,50.24287781884959,AI研究人员数量
2030,英国,53.68627478307735,AI研究人员数量
2031,英国,57.365665049599784,AI研究人员数量
2032,英国,61.29722242565026,AI研究人员数量
2033,英国,65.49822919077019,AI研究人员数量
2034,英国,69.98715206598763,AI研究人员数量
2035,英国,74.78372338954682,AI研究人员数量
2016,阿联酋,1.0,AI研究人员数量
2017,阿联酋,1.5,AI研究人员数量
2018,阿联酋,2.0,AI研究人员数量
2019,阿联酋,3.0,AI研究人员数量
2020,阿联酋,4.0,AI研究人员数量
2021,阿联酋,6.0,AI研究人员数量
2022,阿联酋,8.0,AI研究人员数量
2023,阿联酋,10.0,AI研究人员数量
2024,阿联酋,12.0,AI研究人员数量
2025,阿联酋,15.0,AI研究人员数量
2026,阿联酋,21.286228490371556,AI研究人员数量
2027,阿联酋,27.452023357861123,AI研究人员数量
2028,阿联酋,35.403809875546514,AI研究人员数量
2029,阿联酋,45.658920559854124,AI研究人员数量
2030,阿联酋,58.884539093940845,AI研究人员数量
2031,阿联酋,75.94110639914209,AI研究人员数量
2032,阿联酋,97.93829976193592,AI研究人员数量
2033,阿联酋,126.30722694299817,AI研究人员数量
2034,阿联酋,162.89353211980563,AI研究人员数量
2035,阿联酋,210.07747100995994,AI研究人员数量
2016,韩国,10.0,AI研究人员数量
2017,韩国,11.0,AI研究人员数量
2018,韩国,12.0,AI研究人员数量
2019,韩国,13.0,AI研究人员数量
2020,韩国,15.0,AI研究人员数量
2021,韩国,18.0,AI研究人员数量
2022,韩国,20.0,AI研究人员数量
2023,韩国,22.0,AI研究人员数量
2024,韩国,24.0,AI研究人员数量
2025,韩国,26.0,AI研究人员数量
2026,韩国,29.9078099439443,AI研究人员数量
2027,韩国,33.410945651131385,AI研究人员数量
2028,韩国,37.32440761777946,AI研究人员数量
2029,韩国,41.696257824147324,AI研究人员数量
2030,韩国,46.580187804765046,AI研究人员数量
2031,韩国,52.03617804451159,AI研究人员数量
2032,韩国,58.13123461050321,AI研究人员数量
2033,韩国,64.94021206651229,AI研究人员数量
2034,韩国,72.54673277628308,AI研究人员数量
2035,韩国,81.04421388588878,AI研究人员数量
2016,中国,70.0,AI社会信任度
2017,中国,74.0,AI社会信任度
2018,中国,78.0,AI社会信任度
2019,中国,79.0,AI社会信任度
2020,中国,81.0,AI社会信任度
2021,中国,78.0,AI社会信任度
2022,中国,78.0,AI社会信任度
2023,中国,81.0,AI社会信任度
2024,中国,83.0,AI社会信任度
2025,中国,85.0,AI社会信任度
2026,中国,84.79350887745386,AI社会信任度
2027,中国,85.86715146257575,AI社会信任度
2028,中国,86.95438834773086,AI社会信任度
2029,中国,88.05539166189101,AI社会信任度
2030,中国,89.17033571349566,AI社会信任度
2031,中国,90.29939701805688,AI社会信任度
2032,中国,91.4427543260972,AI社会信任度
2033,中国,92.60058865144856,AI社会信任度
2034,中国,93.7730832999141,AI社会信任度
2035,中国,94.96042389828835,AI社会信任度
2016,加拿大,42.0,AI社会信任度
2017,加拿大,40.0,AI社会信任度
2018,加拿大,39.0,AI社会信任度
2019,加拿大,40.0,AI社会信任度
2020,加拿大,35.0,AI社会信任度
2021,加拿大,38.0,AI社会信任度
2022,加拿大,32.0,AI社会信任度
2023,加拿大,34.0,AI社会信任度
2024,加拿大,40.0,AI社会信任度
2025,加拿大,42.0,AI社会信任度
2026,加拿大,37.42753605165126,AI社会信任度
2027,加拿大,37.3579754336497,AI社会信任度
2028,加拿大,37.2885440969294,AI社会信任度
2029,加拿大,37.21924180120186,AI社会信任度
2030,加拿大,37.15006830665152,AI社会信任度
2031,加拿大,37.081023373888456,AI社会信任度
2032,加拿大,37.01210676398114,AI社会信任度
2033,加拿大,36.943318238434586,AI社会信任度
2034,加拿大,36.87465755919038,AI社会信任度
2035,加拿大,36.80612448865213,AI社会信任度
2016,印度,60.0,AI社会信任度
2017,印度,62.0,AI社会信任度
2018,印度,65.0,AI社会信任度
2019,印度,68.0,AI社会信任度
2020,印度,70.0,AI社会信任度
2021,印度,72.0,AI社会信任度
2022,印度,75.0,AI社会信任度
2023,印度,70.0,AI社会信任度
2024,印度,60.0,AI社会信任度
2025,印度,65.0,AI社会信任度
2026,印度,67.92253184213041,AI社会信任度
2027,印度,68.01863929951651,AI社会信任度
2028,印度,68.11488274479052,AI社会信任度
2029,印度,68.21126237043791,AI社会信任度
2030,印度,68.3077783690751,AI社会信任度
2031,印度,68.40443093369686,AI社会信任度
2032,印度,68.50122025754536,AI社会信任度
2033,印度,68.59814653411013,AI社会信任度
2034,印度,68.69520995717903,AI社会信任度
2035,印度,68.79241072082368,AI社会信任度
2016,德国,37.0,AI社会信任度
2017,德国,38.0,AI社会信任度
2018,德国,37.0,AI社会信任度
2019,德国,39.0,AI社会信任度
2020,德国,40.0,AI社会信任度
2021,德国,41.0,AI社会信任度
2022,德国,44.0,AI社会信任度
2023,德国,47.0,AI社会信任度
2024,德国,48.0,AI社会信任度
2025,德国,50.0,AI社会信任度
2026,德国,51.819709720365154,AI社会信任度
2027,德国,53.93436757599352,AI社会信任度
2028,德国,56.13532035435492,AI社会信任度
2029,德国,58.426089577226094,AI社会信任度
2030,德国,60.81034047258663,AI社会信任度
2031,德国,63.291887838979164,AI社会信任度
2032,德国,65.8747021491804,AI社会信任度
2033,德国,68.56291590295564,AI社会信任度
2034,德国,71.36083023905212,AI社会信任度
2035,德国,74.27292181701443,AI社会信任度
2016,日本,35.0,AI社会信任度
2017,日本,32.0,AI社会信任度
2018,日本,30.0,AI社会信任度
2019,日本,26.0,AI社会信任度
2020,日本,28.0,AI社会信任度
2021,日本,30.0,AI社会信任度
2022,日本,33.0,AI社会信任度
2023,日本,28.0,AI社会信任度
2024,日本,35.0,AI社会信任度
2025,日本,38.0,AI社会信任度
2026,日本,35.565855464754804,AI社会信任度
2027,日本,36.551737646429956,AI社会信任度
2028,日本,37.56494838982303,AI社会信任度
2029,日本,38.606245240105864,AI社会信任度
2030,日本,39.67640674152949,AI社会信任度
2031,日本,40.776233019520305,AI社会信任度
2032,日本,41.90654637890498,AI社会信任度
2033,日本,43.06819191872455,AI社会信任度
2034,日本,44.262038164084515,AI社会信任度
2035,日本,45.48897771552629,AI社会信任度
2016,法国,38.0,AI社会信任度
2017,法国,36.0,AI社会信任度
2018,法国,34.0,AI社会信任度
2019,法国,35.0,AI社会信任度
2020,法国,37.0,AI社会信任度
2021,法国,38.0,AI社会信任度
2022,法国,31.0,AI社会信任度
2023,法国,36.0,AI社会信任度
2024,法国,41.0,AI社会信任度
2025,法国,42.0,AI社会信任度
2026,法国,40.32211614780408,AI社会信任度
2027,法国,41.107013263597764,AI社会信任度
2028,法国,41.90718892975747,AI社会信任度
2029,法国,42.722940553542685,AI社会信任度
2030,法国,43.55457133144682,AI社会信任度
2031,法国,44.40239036188677,AI社会信任度
2032,法国,45.26671276008801,AI社会信任度
2033,法国,46.1478597752066,AI社会信任度
2034,法国,47.04615890972855,AI社会信任度
2035,法国,47.96194404119524,AI社会信任度
2016,美国,50.0,AI社会信任度
2017,美国,41.0,AI社会信任度
2018,美国,40.0,AI社会信任度
2019,美国,36.0,AI社会信任度
2020,美国,38.0,AI社会信任度
2021,美国,39.0,AI社会信任度
2022,美国,35.0,AI社会信任度
2023,美国,39.0,AI社会信任度
2024,美国,39.0,AI社会信任度
2025,美国,40.0,AI社会信任度
2026,美国,38.21352282916996,AI社会信任度
2027,美国,38.14556837309283,AI社会信任度
2028,美国,38.07773475925933,AI社会信任度
2029,美国,38.01002177278133,AI社会信任度
2030,美国,37.9424291991636,AI社会信任度
2031,美国,37.87495682426015,AI社会信任度
2032,美国,37.80760443432882,AI社会信任度
2033,美国,37.74037181600579,AI社会信任度
